,Jacket,Upper,Lower,Dress,Shoes,Style,Occasion
Outfit 1,,,,RR2255310309,RR0000000000,Classic,"Office, Business Dinner, Date Night, Cocktail"
Outfit 2,,RR2256241359A,RR2256420973,,RR2256722509,Casual,"Travel, Everyday Casual, Weekend Brunch"
Outfit 3,,RR2256241359B,RR2256430938,RR0000000102,,Chic,"Date Night, Office"
Outfit 4,,,,RR2256310045,RR0000000105,Classic,"Office, Business Dinner, Interview"
Outfit 5,RR2256160919,RR2256241380B,RR2256410737,,RR0000000106,Smart Casual,"Office, Business Dinner, Cocktail"
Outfit 6,,,,RR2255310627,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Festival"
Outfit 7,,,,RR2255310650,RR2256722508,Casual,"Everyday Casual, Weekend Brunch"
Outfit 8,,,,RR2255310952,RR0000000108,Chic,"Date Night, Party, Cocktail"
Outfit 9,,RR2256241359A,,RR2256310045,RR0000000106,Classic,"Office, Interview, Business dinner"
Outfit 10,,RR2256241380A,RR2256464345,,RR0000000102,Chic,Office
Outfit 11,RR2256120756,RR2256210719,RR2256464637,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch"
Outfit 12,,RR2256242361,RR2256464905,,RR0000000000,Chic,"Office, Date Night"
Outfit 13,,RR2256241380B,RR2256464907,,RR0000000103,Glam,"Date Night, Party, Cocktail, Celebration"
Outfit 14,RR2256120200,RR2256241380B,RR2256464953,,RR0000000103,Glam,"Date Night, Party, Cocktail"
Outfit 15,,RR2256281314,RR2256410602,,RR2256722508,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 16,RR2256120764,RR2256241380A,RR2256410621,,RR0000000106,Casual,"Everyday Casual, Weekend Brunch"
Outfit 17,,RR2256250345,RR2256410625,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch"
Outfit 18,,RR2256250313,RR2256410628,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 19,,RR2256230728,RR2256410639,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 20,RR2256130901A,RR2256210955,RR2256410702,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 21,,RR2256250383,RR2256410707,,RR0000000106,Chic,"Everyday Casual, Weekend Brunch"
Outfit 22,,RR2256220916B,RR2256410722,,RR0000000102,Smart Casual,"Weekend Brunch, Cocktail"
Outfit 23,RR2256160919,RR2256241380A,RR2256410736,,RR0000000102,Smart Casual,"Weekend Brunch, Cocktail"
Outfit 24,RR2256160741,RR2256210719,RR2256410741,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel, Concert"
Outfit 25,,RR2256250305,RR2256420062,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 26,,RR2256250372,RR2256420708,,RR0000000000,Chic,"Office, Cocktail, Date Night"
Outfit 27,,RR2256261720,RR2256420924,,RR0000000106,Smart Casual,"Weekend Brunch, Everyday Casual"
Outfit 28,RR2256160946A,RR2256210801,RR2256420973,,RR2256722509,Casual,"Everyday Casual, Travel"
Outfit 29,RR2256160946B,RR2256210758,RR2256410737,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 30,RR2256162762,RR2256242382B,RR2256430762,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 31,,RR2256250372,RR2256430938,,RR0000000107,Chic,"Office, Cocktail, Date Night, Business Dinner"
Outfit 32,,RR2256162973,RR2256420973,,RR2256722508,Casual,"Everyday Casual, Travel"
Outfit 33,,RR2256250345,RR2256464345,,RR0000000101,Chic,"Office, Cocktail, Date Night, Business Dinner"
Outfit 34,,RR2256242382A,RR2256464637,,RR2256722508,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 35,,RR2256250349,RR2256410737,,RR0000000105,Casual,"Everyday Casual, Weekend Brunch"
Outfit 36,RR2256250363B,RR2256220916B,RR2256410722,,RR2256722508,Casual,"Everyday Casual, Weekend Brunch"
Outfit 37,,RR2256220916A,RR2256410621,,RR0000000103,Smart Casual,"Weekend Brunch, Date Night"
Outfit 38,RR2256162062,RR2256210801,RR2256430762,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 39,,RR2256250313,RR2256410628,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch, Travel"
Outfit 40,,RR2256241380B,RR2256464905,,RR0000000103,Glam,"Date Night, Party, Cocktail"
Outfit 41,,RR2256242382B,RR2256410737,,RR0000000102,Casual,"Everyday Casual, Weekend Brunch"
Outfit 42,,RR2256250305,RR2256410639,,RR0000000105,Casual,"Everyday Casual, Weekend Brunch"
Outfit 43,,RR2256250383,RR2256430938,,RR0000000109,Chic,"Office, Date Night"
Outfit 44,RR2256120759,RR2256241380A,RR2256464637,,RR0000000106,Casual,"Everyday Casual, Weekend Brunch"
Outfit 45,RR2256120200,RR2256220916A,RR2256420708,,RR0000000109,Smart Casual,"Weekend Brunch, Date Night"
Outfit 46,RR2256160741,RR2256210758,RR2256410625,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch"
Outfit 47,,RR2256220916B,RR2256410736,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch"
Outfit 48,,RR2256241359B,RR2256410621,,RR0000000103,Smart Casual,"Weekend Brunch, Date Night"
Outfit 49,,RR2256220916B,RR2256410741,,RR2256722509,Casual,"Everyday Casual, Weekend Brunch"
Outfit 50,RR2256120764,RR2256241380A,RR2256410736,,RR0000000106,Casual,"Everyday Casual, Weekend Brunch"